ID,Type,Awadhi,Roman,English,Category,Context,Source File
S017,Story Paragraph,"बिआह के रसम मा घर के रिश्तेदार गाँव वाले बुआ ,काका ,फ़ुफ़ा,मामा,मौसी आदि लोग न्योता जा थीं ।",,"Family members, villagers, aunts, uncles — all were invited to the wedding ceremony.",Lifecycle,Biaah ki Rasm (¶5),stories.json
S018,Story Paragraph,"बिआह के पहिलेव भोज होत है बिआह के बादव भोज होय लाग अहय । भोज मा पुडी-सब्जी खीर मिठाई ,लडडू आदि खाना बनत है ।",,"There is a feast both before and after the wedding — with puri-sabzi, kheer, sweets, and laddoos.",Lifecycle,Biaah ki Rasm (¶6),stories.json
S019,Story Paragraph,बिआह के रसम कय व्यवस्था अउर खर्चा लडकी के माँ-बाप उठावा थीं।,,The bride's parents bear all the expenses and arrangements for the wedding.,Lifecycle,Biaah ki Rasm (¶7),stories.json
S020,Story Vocab,बिआह,Biaah,Wedding,Lifecycle,"Vocab from ""Biaah ki Rasm""",stories.json
S021,Story Vocab,तिलक,Tilak,Pre-wedding ceremony,Lifecycle,"Vocab from ""Biaah ki Rasm""",stories.json
S022,Story Vocab,सिन्दूर,Sindoor,Vermilion,Lifecycle,"Vocab from ""Biaah ki Rasm""",stories.json
S023,Story Vocab,सात फ़ेरा,Saat Fera,Seven Sacred Rounds,Lifecycle,"Vocab from ""Biaah ki Rasm""",stories.json
S024,Story Vocab,भोज,Bhoj,Feast,Lifecycle,"Vocab from ""Biaah ki Rasm""",stories.json
S025,Story Paragraph,हमरे समाज मा मित्यु से सम्बन्धित रसम तेरहवीं अउर वरषी हुआ थै।,,"In our society, death-related rituals are the 13th-day ceremony (Terhaveen) and the annual memorial (Barsi).",Lifecycle,Mrityu ki Rasm (¶1),stories.json
S026,Story Paragraph,समान्यत: म्रित्यु कय रसम म्रित्यु वाले आदमी के घरे पय हुआ थै।,,"Generally, the death rituals take place at the home of the deceased person.",Lifecycle,Mrityu ki Rasm (¶2),stories.json
S027,Story Paragraph,ऊ मर गवा।,,He passed away.,Lifecycle,Mrityu ki Rasm (¶3),stories.json
S028,Story Paragraph,म्रित्यु के रसम मा रिश्तेदार -नातेदार अउर गाँव घर न्योता जा थै ।,,"In the death rituals, relatives and villagers are all invited.",Lifecycle,Mrityu ki Rasm (¶4),stories.json
S029,Story Paragraph,"मिर्त्यु कय रसम कय बिधि गउदान,तेरहवीं अउर वरषी अहय ।",,"The ritual procedures for death include Gaudan, the 13th-day ceremony, and the annual memorial.",Lifecycle,Mrityu ki Rasm (¶5),stories.json
S030,Story Vocab,म्रित्यु,Mrityu,Death,Lifecycle,"Vocab from ""Mrityu ki Rasm""",stories.json
S031,Story Vocab,तेरहवीं,Terhaveen,13th Day Ritual,Lifecycle,"Vocab from ""Mrityu ki Rasm""",stories.json
S032,Story Vocab,वरषी,Varshi,Annual Memorial,Lifecycle,"Vocab from ""Mrityu ki Rasm""",stories.json
S033,Story Vocab,परिवार,Parivaar,Family,Lifecycle,"Vocab from ""Mrityu ki Rasm""",stories.json
S034,Story Vocab,पडोस,Padosi,Neighbourhood,Lifecycle,"Vocab from ""Mrityu ki Rasm""",stories.json
S035,Story Paragraph,वे रोज स्कूल जा थें।,,They used to go to school every day.,Daily Life,Gaav ki Zindagi (¶1),stories.json
S036,Story Paragraph,हमरे घरे मा ढेर पेड अहय।,,There are many trees at our home.,Daily Life,Gaav ki Zindagi (¶2),stories.json
S037,Story Paragraph,गाँव कय ई सबसे पुरान पेड आय।,,This is the oldest tree in the village.,Daily Life,Gaav ki Zindagi (¶3),stories.json
S038,Story Paragraph,टैंक मा पानी नाही बाटय।,,There is no water in the tank.,Daily Life,Gaav ki Zindagi (¶4),stories.json
S039,Story Paragraph,खराब मौसम की वजह से हम सब गाँव नही जाय पाइन।,,"Due to bad weather, we all could not go to the village.",Daily Life,Gaav ki Zindagi (¶5),stories.json
S040,Story Paragraph,वे हर दिन फ़ुटबाल खेला थें।,,They used to play football every day.,Daily Life,Gaav ki Zindagi (¶6),stories.json
S041,Story Paragraph,वे कपडा धोवत रही।,,She was washing clothes.,Daily Life,Gaav ki Zindagi (¶7),stories.json
S042,Story Paragraph,खाये के बाद सोया।,,He slept after eating.,Daily Life,Gaav ki Zindagi (¶8),stories.json
S043,Story Vocab,गाँव,Gaav,Village,Daily Life,"Vocab from ""Gaav ki Zindagi""",stories.json
S044,Story Vocab,पेड,Ped,Tree,Daily Life,"Vocab from ""Gaav ki Zindagi""",stories.json
S045,Story Vocab,मौसम,Mausam,Weather,Daily Life,"Vocab from ""Gaav ki Zindagi""",stories.json
S046,Story Vocab,पानी,Paani,Water,Daily Life,"Vocab from ""Gaav ki Zindagi""",stories.json
S047,Story Vocab,रोज,Roz,Every Day,Daily Life,"Vocab from ""Gaav ki Zindagi""",stories.json
